"[(~a_16-< ~d_53,~a_2,~a_6),~a_6,~a_2,~d_53]","[(a_16-< ~d_53,d_58,~a_2,~a_6),~a_6,~a_2,d_58,~d_53]","[(a_16-< ~d_53,d_58,~a_2,~a_6),~a_6,~a_2,d_58,~d_53]"
"[(a_16-<a_13,a_9),a_9,(a_13-< ~a_6,~a_2),~a_2,~a_6]","[(~a_16-<a_9,a_13,d_51),d_51,(a_13-< ~a_6,~a_2),~a_2,~a_6,a_9]","[(~a_16-<a_9,a_13,d_51),d_51,(a_13-< ~a_6,~a_2),~a_2,~a_6,a_9]"
"[(a_16-<a_13,a_9),a_9,(a_13-< ~a_6,~a_2),~a_2,~a_6]","[(~a_16-<a_9,d_52,a_13),(a_13-< ~a_6,~a_2),~a_2,~a_6,d_52,a_9]","[(~a_16-<a_9,d_52,a_13),(a_13-< ~a_6,~a_2),~a_2,~a_6,d_52,a_9]"
"[(~a_15-<d_59,~a_2),~a_2,d_59]","[(a_15-<d_63,d_59,~a_2),~a_2,d_59,d_63]","[(a_15-<d_63,d_59,~a_2),~a_2,d_59,d_63]"
"[(~a_15-<d_59,~a_2),~a_2,d_59]","[(a_15-<d_59,~a_2,d_64),d_64,~a_2,d_59]","[(a_15-<d_59,~a_2,d_64),d_64,~a_2,d_59]"
"[(~a_15-<d_59,~a_2),~a_2,d_59]","[(a_15-<d_59,~a_2,d_65),d_65,~a_2,d_59]","[(a_15-<d_59,~a_2,d_65),d_65,~a_2,d_59]"
"[(~a_15-<d_59,~a_2),~a_2,d_59]","[(a_15-<d_59,~a_2,d_66),d_66,~a_2,d_59]","[(a_15-<d_59,~a_2,d_66),d_66,~a_2,d_59]"
"[(~a_15-<d_60,a_11,a_14),(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2,d_60]","[(a_15-<d_60,a_11,a_14,d_67),d_67,(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2,d_60]","[(a_15-<d_60,a_11,a_14,d_67),d_67,(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2,d_60]"
"[(~a_15-< ~d_61,~a_2),~a_2,~d_61]","[(a_15-< ~d_61,~a_2,d_68),d_68,~a_2,~d_61]","[(a_15-< ~d_61,~a_2,d_68),d_68,~a_2,~d_61]"
"[(~a_15-<a_11,a_14,d_62),d_62,(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2]","[(a_15-<a_11,a_14,d_62,~d_69),~d_69,d_62,(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2]","[(a_15-<a_11,a_14,d_62,~d_69),~d_69,d_62,(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2]"
"[(a_15-<a_14,a_11),(a_11-< ~a_2),~a_2,(a_14-< ~a_7),~a_7]","[(~a_15-<d_60,a_11,a_14),(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2,d_60]","[(~a_15-<d_60,a_11,a_14),(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2,d_60]"
"[(a_15-<a_14,a_11),(a_11-< ~a_2),~a_2,(a_14-< ~a_7),~a_7]","[(~a_15-<a_11,a_14,d_62),d_62,(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2]","[(~a_15-<a_11,a_14,d_62),d_62,(a_14-< ~a_7),~a_7,(a_11-< ~a_2),~a_2]"
arg1,arg2,defeater
"[(a_10-< ~a_8,a_3),a_3,~a_8]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]"
"[(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]"
"[(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]"
"[(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]"
"[(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]"
"[(~a_17-< ~d_21,a_18),a_18,~d_21]","[(a_17-< ~d_21,~d_25,a_18),a_18,~d_25,~d_21]","[(a_17-< ~d_21,~d_25,a_18),a_18,~d_25,~d_21]"
"[(~a_17-< ~d_21,a_18),a_18,~d_21]","[(a_17-< ~d_21,d_26,a_18),a_18,d_26,~d_21]","[(a_17-< ~d_21,d_26,a_18),a_18,d_26,~d_21]"
"[(~a_17-< ~d_21,a_18),a_18,~d_21]","[(a_17-< ~d_21,d_27,a_18),a_18,d_27,~d_21]","[(a_17-< ~d_21,d_27,a_18),a_18,d_27,~d_21]"
"[(~a_17-< ~d_21,a_18),a_18,~d_21]","[(a_17-< ~d_21,d_28,a_18),a_18,d_28,~d_21]","[(a_17-< ~d_21,d_28,a_18),a_18,d_28,~d_21]"
"[(~a_17-<d_22,a_18),a_18,d_22]","[(a_17-<d_22,d_29,a_18),a_18,d_29,d_22]","[(a_17-<d_22,d_29,a_18),a_18,d_29,d_22]"
"[(~a_17-<d_23,a_18),a_18,d_23]","[(a_17-<d_30,d_23,a_18),a_18,d_23,d_30]","[(a_17-<d_30,d_23,a_18),a_18,d_23,d_30]"
"[(~a_17-<d_24,a_18),a_18,d_24]","[(a_17-<d_24,d_31,a_18),a_18,d_31,d_24]","[(a_17-<d_24,d_31,a_18),a_18,d_31,d_24]"
"[(a_17-<a_18),a_18]","[(~a_17-< ~d_21,a_18),a_18,~d_21]","[(~a_17-< ~d_21,a_18),a_18,~d_21]"
"[(a_17-<a_18),a_18]","[(~a_17-<d_22,a_18),a_18,d_22]","[(~a_17-<d_22,a_18),a_18,d_22]"
"[(a_17-<a_18),a_18]","[(~a_17-<d_23,a_18),a_18,d_23]","[(~a_17-<d_23,a_18),a_18,d_23]"
"[(a_17-<a_18),a_18]","[(~a_17-<d_24,a_18),a_18,d_24]","[(~a_17-<d_24,a_18),a_18,d_24]"
"[(a_15-<d_32,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_32]","[(~a_15-<d_32,~d_36,~a_13),(~a_13-<a_2,a_3),a_3,a_2,~d_36,d_32]","[(~a_15-<d_32,~d_36,~a_13),(~a_13-<a_2,a_3),a_3,a_2,~d_36,d_32]"
"[(a_15-<d_32,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_32]","[(~a_15-<d_32,~a_13,d_37),d_37,(~a_13-<a_2,a_3),a_3,a_2,d_32]","[(~a_15-<d_32,~a_13,d_37),d_37,(~a_13-<a_2,a_3),a_3,a_2,d_32]"
"[(a_15-<d_32,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_32]","[(~a_15-<d_32,~a_13,d_38),d_38,(~a_13-<a_2,a_3),a_3,a_2,d_32]","[(~a_15-<d_32,~a_13,d_38),d_38,(~a_13-<a_2,a_3),a_3,a_2,d_32]"
"[(a_15-<d_32,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_32]","[(~a_15-<d_32,d_39,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_39,d_32]","[(~a_15-<d_32,d_39,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_39,d_32]"
"[(a_15-<a_2,d_33,a_3),a_3,d_33,a_2]","[(~a_15-<a_2,~d_40,d_33,a_3),a_3,d_33,~d_40,a_2]","[(~a_15-<a_2,~d_40,d_33,a_3),a_3,d_33,~d_40,a_2]"
"[(a_15-<a_2,d_33,a_3),a_3,d_33,a_2]","[(~a_15-<a_2,d_33,d_41,a_3),a_3,d_41,d_33,a_2]","[(~a_15-<a_2,d_33,d_41,a_3),a_3,d_41,d_33,a_2]"
"[(a_15-<d_34,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_34]","[(~a_15-< ~d_42,d_34,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_34,~d_42]","[(~a_15-< ~d_42,d_34,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_34,~d_42]"
"[(a_15-<d_34,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_34]","[(~a_15-<d_43,d_34,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_34,d_43]","[(~a_15-<d_43,d_34,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_34,d_43]"
"[(a_15-<d_35,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_35]","[(~a_15-<d_35,d_44,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_44,d_35]","[(~a_15-<d_35,d_44,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_44,d_35]"
"[(a_15-<d_35,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_35]","[(~a_15-<d_35,d_45,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_45,d_35]","[(~a_15-<d_35,d_45,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_45,d_35]"
"[(~a_15-< ~a_13),(~a_13-<a_2,a_3),a_3,a_2]","[(a_15-<d_32,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_32]","[(a_15-<d_32,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_32]"
"[(~a_15-< ~a_13),(~a_13-<a_2,a_3),a_3,a_2]","[(a_15-<a_2,d_33,a_3),a_3,d_33,a_2]","[(a_15-<a_2,d_33,a_3),a_3,d_33,a_2]"
"[(~a_15-< ~a_13),(~a_13-<a_2,a_3),a_3,a_2]","[(a_15-<d_34,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_34]","[(a_15-<d_34,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_34]"
"[(~a_15-< ~a_13),(~a_13-<a_2,a_3),a_3,a_2]","[(a_15-<d_35,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_35]","[(a_15-<d_35,~a_13),(~a_13-<a_2,a_3),a_3,a_2,d_35]"
"[(~a_19-< ~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(a_19-<d_50,~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46,d_50]","[(a_19-<d_50,~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46,d_50]"
"[(~a_19-< ~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(a_19-< ~d_46,a_0,a_10,d_51),d_51,(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(a_19-< ~d_46,a_0,a_10,d_51),d_51,(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]"
"[(~a_19-< ~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]"
"[(~a_19-< ~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]"
"[(~a_19-< ~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]"
"[(~a_19-< ~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]"
"[(~a_19-< ~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]"
"[(~a_19-<d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47]","[(a_19-<d_47,d_52,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_52,d_47]","[(a_19-<d_47,d_52,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_52,d_47]"
"[(~a_19-<d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47]","[(a_19-<d_53,d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47,d_53]","[(a_19-<d_53,d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47,d_53]"
"[(~a_19-<d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]"
"[(~a_19-<d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]"
"[(~a_19-<d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]"
"[(~a_19-<d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]"
"[(~a_19-<d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]"
"[(~a_19-<a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0]","[(a_19-<d_54,a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0,d_54]","[(a_19-<d_54,a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0,d_54]"
"[(~a_19-<a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0]","[(a_19-<a_0,d_48,d_55,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_55,d_48,a_0]","[(a_19-<a_0,d_48,d_55,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_55,d_48,a_0]"
"[(~a_19-<a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]"
"[(~a_19-<a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]"
"[(~a_19-<a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]"
"[(~a_19-<a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]"
"[(~a_19-<a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]"
"[(~a_19-< ~a_8,a_3,d_49),d_49,a_3,~a_8]","[(a_19-< ~a_8,d_56,a_3,d_49),d_49,a_3,d_56,~a_8]","[(a_19-< ~a_8,d_56,a_3,d_49),d_49,a_3,d_56,~a_8]"
"[(~a_19-< ~a_8,a_3,d_49),d_49,a_3,~a_8]","[(a_19-<d_57,~a_8,a_3,d_49),d_49,a_3,~a_8,d_57]","[(a_19-<d_57,~a_8,a_3,d_49),d_49,a_3,~a_8,d_57]"
"[(a_19-<a_10,a_0),a_0,(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_19-< ~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(~a_19-< ~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]"
"[(a_19-<a_10,a_0),a_0,(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_19-<d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47]","[(~a_19-<d_47,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,d_47]"
"[(a_19-<a_10,a_0),a_0,(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_19-<a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0]","[(~a_19-<a_0,d_48,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,d_48,a_0]"
"[(a_19-<a_10,a_0),a_0,(a_10-< ~a_8,a_3),a_3,~a_8]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]"
"[(a_19-<a_10,a_0),a_0,(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]"
"[(a_19-<a_10,a_0),a_0,(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]"
"[(a_19-<a_10,a_0),a_0,(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]"
"[(a_19-<a_10,a_0),a_0,(a_10-< ~a_8,a_3),a_3,~a_8]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]"
"[(a_19-<d_50,~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46,d_50]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]"
"[(a_19-<d_50,~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46,d_50]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]","[(~a_16-< ~a_8,a_3,d_73),d_73,a_3,~a_8]"
"[(a_19-<d_50,~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46,d_50]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]","[(~a_16-< ~a_8,a_3,~d_74),~d_74,a_3,~a_8]"
"[(a_19-<d_50,~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46,d_50]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]","[(~a_16-< ~d_75,~a_8,a_3),a_3,~a_8,~d_75]"
"[(a_19-<d_50,~d_46,a_0,a_10),(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46,d_50]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]","[(~a_16-< ~a_8,~d_76,a_3),a_3,~d_76,~a_8]"
"[(a_19-< ~d_46,a_0,a_10,d_51),d_51,(a_10-< ~a_8,a_3),a_3,~a_8,a_0,~d_46]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]","[(a_20-< ~a_8,~d_60,a_3),a_3,~d_60,~a_8]"
